city,region,year,month,temp,temp_max,temp_min,precip,wind,radiation
Manaus,Norte,2017,3,26.229032258064517,28.874193548387098,24.24516129032258,312.6,11.44516129032258,15.393548387096773
Manaus,Norte,2017,4,26.503333333333334,28.833333333333332,24.623333333333335,210.5,11.806666666666667,15.479000000000001
Manaus,Norte,2017,5,27.287096774193547,29.961290322580645,25.129032258064516,125.0,12.396774193548387,17.438387096774196
Manaus,Norte,2017,6,27.16,30.026666666666664,24.903333333333332,79.3,11.966666666666667,17.544
Manaus,Norte,2017,7,27.34193548387097,30.903225806451612,24.325806451612905,20.9,12.670967741935485,19.232580645161292
Manaus,Norte,2017,8,29.161290322580644,33.20645161290323,25.61935483870968,16.5,12.67741935483871,20.030322580645162
Manaus,Norte,2017,9,28.32,31.673333333333336,25.576666666666664,67.7,11.496666666666666,18.576
Manaus,Norte,2017,10,27.59032258064516,30.4741935483871,25.261290322580646,90.0,12.748387096774193,17.858709677419355
Manaus,Norte,2017,11,27.616666666666667,30.473333333333336,25.663333333333334,98.9,11.966666666666667,17.403333333333332
Manaus,Norte,2017,12,26.58709677419355,28.838709677419356,24.73225806451613,303.1,11.69032258064516,13.993548387096775
Manaus,Norte,2018,1,26.051612903225806,28.7,24.151612903225807,245.6,13.32258064516129,15.792903225806452
Manaus,Norte,2018,2,26.389285714285712,29.292857142857144,24.435714285714287,142.9,12.799999999999999,15.620000000000001
Manaus,Norte,2018,3,26.635483870967743,29.248387096774195,24.664516129032258,218.0,13.509677419354839,16.547096774193548
Manaus,Norte,2018,4,25.92,28.34333333333333,24.136666666666667,308.1,11.403333333333334,14.001666666666667
Manaus,Norte,2018,5,26.083870967741937,28.53548387096774,24.038709677419355,220.7,12.174193548387096,15.290645161290323
Manaus,Norte,2018,6,26.65,29.56,24.196666666666665,92.8,11.41,18.073333333333334
Manaus,Norte,2018,7,27.05483870967742,30.190322580645162,24.306451612903224,63.4,11.59032258064516,18.51967741935484
Manaus,Norte,2018,8,27.493548387096773,30.809677419354838,24.55483870967742,52.2,12.803225806451612,19.373548387096776
Manaus,Norte,2018,9,28.566666666666666,32.07,25.313333333333333,45.6,12.526666666666667,20.026333333333334
Manaus,Norte,2018,10,29.677419354838708,33.38709677419355,26.38064516129032,65.0,12.861290322580645,20.618709677419353
Manaus,Norte,2018,11,27.996666666666666,30.986666666666668,25.60666666666667,241.4,12.446666666666665,17.046666666666667
Manaus,Norte,2018,12,26.029032258064515,28.541935483870965,23.967741935483872,280.0,12.8,14.87225806451613
Manaus,Norte,2019,1,26.26451612903226,28.864516129032257,24.164516129032258,272.8,13.941935483870967,16.14709677419355
Manaus,Norte,2019,2,26.525,29.099999999999998,24.614285714285717,236.4,14.110714285714286,16.086071428571426
Manaus,Norte,2019,3,27.358064516129033,30.193548387096776,25.12258064516129,156.6,14.76774193548387,19.088387096774195
Manaus,Norte,2019,4,26.956666666666667,29.696666666666665,24.84,235.2,12.733333333333333,16.805333333333333
Manaus,Norte,2019,5,26.596774193548388,29.029032258064515,24.54516129032258,287.6,11.941935483870967,15.235806451612904
